TEAM YEAR NUMBER NAME SALARY
carp 1980 58 沢幡誠士 280万円
carp 1980 59 滝口光則 240万円
carp 1980 10 道原裕幸 680万円
carp 1980 22 水沼四郎 1560万円
carp 1980 37 木本茂美 420万円
carp 1980 39 野村克彦 220万円
carp 1980 40 達川光男 360万円
carp 1980 41 山中潔 230万円
carp 1980 48 山本穣 240万円
carp 1980 51 中川惣一 400万円
carp 1980 2 高橋慶彦 1550万円
carp 1980 3 衣笠祥雄 2100万円
carp 1980 4 水谷実雄 2000万円
carp 1980 9 三村敏之 1500万円
carp 1980 23 山崎隆造 380万円
carp 1980 25 木下富雄 750万円
carp 1980 32 永田利則 240万円
carp 1980 46 木山英求 240万円
carp 1980 50 高月敏文 320万円
carp 1980 52 伊藤嘉彦 230万円
carp 1980 54 中尾明生 400万円
carp 1980 56 佐々木伸 210万円
carp 1980 7 内田順三 700万円
carp 1980 8 山本浩二 4000万円
carp 1980 27 正垣宏倫 700万円
carp 1980 28 萩原康弘 700万円
carp 1980 30 小川達明 300万円
carp 1980 31 深沢修一 600万円
carp 1980 33 長内孝 300万円
carp 1980 43 林雅晃 240万円
carp 1980 45 岡義朗 400万円
carp 1980 60 今井譲二 280万円
carp 1980 66 長嶋清幸 200万円
carp 1981 1 大久保美智男 300万円
carp 1981 11 池谷公二郎 1580万円
carp 1981 12 田辺繁文 280万円
carp 1981 13 土居正史 350万円
carp 1981 14 片岡光宏 240万円
carp 1981 15 安仁屋宗八 960万円
carp 1981 16 高橋直樹 2400万円
carp 1981 17 山根和夫 1160万円
carp 1981 18 福士敬章 1900万円
carp 1981 19 新美敏 560万円
carp 1981 20 北別府学 1450万円
carp 1981 21 佐伯和司 950万円
carp 1981 24 大野豊 750万円
carp 1981 26 山本和男 360万円
carp 1981 29 小林邦和 520万円
carp 1981 34 川口和久 300万円
carp 1981 35 石井和行 240万円
carp 1981 36 渡辺秀武 1200万円
carp 1981 44 金田留広 1020万円
carp 1981 45 杉田久雄 580万円
carp 1981 47 金石昭人 240万円
carp 1981 53 井上卓也 240万円
carp 1981 55 小林一史 230万円
carp 1981 56 高木宏彰 280万円
carp 1981 57 森厚三 240万円
