id,team,hit,opponent,year,score_team,score_opponent
BAL201305220,BAL,14,NYA,2012,6,2
BAL201305290,WAS,8,BAL,2012,6,9
BAL201305290,BAL,13,WAS,2012,9,6
BAL201305300,WAS,3,BAL,2012,0,2
BAL201305300,BAL,9,WAS,2012,2,0
BAL201305310,DET,8,BAL,2012,5,3
BAL201305310,BAL,7,DET,2012,4,5
BAL201306010,DET,12,BAL,2012,10,3
BAL201306010,BAL,9,DET,2012,3,10
BAL201306020,DET,10,BAL,2012,2,4
BAL201306020,BAL,10,DET,2012,4,2
BAL201306100,ANA,8,BAL,2012,3,4
BAL201306100,BAL,7,ANA,2012,4,3
BAL201306110,ANA,6,BAL,2012,2,3
BAL201306110,BAL,8,ANA,2012,3,1
BAL201306120,ANA,12,BAL,2012,9,5
BAL201306120,BAL,10,ANA,2012,5,9
BAL201306130,BOS,9,BAL,2012,4,4
BAL201306130,BAL,12,BOS,2012,4,4
BAL201306140,BOS,3,BAL,2012,0,2
BAL201306140,BAL,5,BOS,2012,2,0
BAL201306150,BOS,9,BAL,2012,5,2
BAL201306150,BAL,10,BOS,2012,4,5
BAL201306160,BOS,6,BAL,2012,3,6
BAL201306160,BAL,14,BOS,2012,6,3
BAL201306240,CLE,9,BAL,2012,5,2
BAL201306240,BAL,9,CLE,2012,2,5
BAL201306250,CLE,6,BAL,2012,3,6
BAL201306250,BAL,6,CLE,2012,6,3
BAL201306260,CLE,6,BAL,2012,4,3
BAL201306260,BAL,4,CLE,2012,3,4
BAL201306270,CLE,10,BAL,2012,3,7
BAL201306270,BAL,11,CLE,2012,7,3
BAL201306280,NYA,11,BAL,2012,3,4
BAL201306280,BAL,5,NYA,2012,4,3
BAL201306290,NYA,11,BAL,2012,3,11
BAL201306290,BAL,15,NYA,2012,11,2
BAL201306300,NYA,6,BAL,2012,2,4
BAL201306300,BAL,8,NYA,2012,4,2
BAL201307080,TEX,12,BAL,2012,8,5
BAL201307080,BAL,10,TEX,2012,5,8
BAL201307090,TEX,14,BAL,2012,8,4
BAL201307090,BAL,6,TEX,2012,4,8
BAL201307100,TEX,4,BAL,2012,1,6
BAL201307100,BAL,10,TEX,2012,6,1
BAL201307110,TEX,7,BAL,2012,1,3
BAL201307110,BAL,6,TEX,2012,3,1
BAL201307120,TOR,14,BAL,2012,5,8
